"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"August 2","Loom · Bouquet CF Different gazes meet — and a new sense completes. Made with Loom harness: Grok plan → GPT image → Grok Imagine → edit on Grok Build. Music: Suno. Full process + prompts on X. AI-made with Grok and GPT. https://loom-signal-deck.vercel.app/ #AI #AIIdol #Kpop #VirtualIdol #eyewear ","https://www.tiktok.com/@loom_idol_m/video/7668260819439848725","July 30","19","0","0","906"
"August 2","One quiet click — closed weave, open proof. Loom. #AI #AIIdol #Kpop #VirtualIdol #Loom   ","https://www.tiktok.com/@loom_idol_m/video/7668688515911208212","July 31","5","0","0","397"
"August 2","#loom ","https://www.tiktok.com/@loom_idol_m/video/7668675022940015892","July 31","0","0","0","204"
"August 2","M02 stage #Grok #ai #aivideo #aiidol #kpop ","https://www.tiktok.com/@loom_idol_m/video/7642319743843749141","May 21","8","0","0","410"
"August 2","M04 lua stage #Grok #ai #aiidol #kpop ","https://www.tiktok.com/@loom_idol_m/video/7642330107624934676","May 21","12","0","0","596"
"August 2","M05 faye mv #Grok #aiidol #kpop #aivideo ","https://www.tiktok.com/@loom_idol_m/video/7642333620027575573","May 21","4","0","0","180"
"August 2","M01 mv saeyan#Grok #ai #aivideo #aiidol #kpop ","https://www.tiktok.com/@loom_idol_m/video/7642322056196967701","May 21","7","0","0","198"
"August 2","#Grok #aiidol #kpop #ai ","https://www.tiktok.com/@loom_idol_m/video/7651507145162116372","June 15","8","0","0","456"
"August 2","#Grok ","https://www.tiktok.com/@loom_idol_m/video/7642929683620810005","May 23","15","0","0","432"
"August 2","#Grok M02 seorin stage#ai #aivideo #aiidol #kpop ","https://www.tiktok.com/@loom_idol_m/video/7642324278033075477","May 21","3","0","0","59"
"August 2","#Grok M02 mv seorin #ai #aivideo #aiidol #kpop ","https://www.tiktok.com/@loom_idol_m/video/7642323655300599060","May 21","7","0","0","211"
"August 2","#Grok #ai #aiart #fox ","https://www.tiktok.com/@loom_idol_m/video/7627713714980015381","April 12","3","0","0","116"
"August 2","They look at each other #loom #eyewear #ai #rainyday #virtualidol ","https://www.tiktok.com/@loom_idol_m/video/7668368837514972436","July 31","1","0","0","3"
"August 2","#Grok M12 seria stage #aiidol #kpop #","https://www.tiktok.com/@loom_idol_m/video/7642584084744621332","May 22","3","0","0","58"
